NAME,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023
Alabama,5031864,5050380,5073903,5108468,13867,57184,58106,58251
Alaska,732964,734923,733276,733406,2406,9453,9356,9266
Arizona,7186683,7272487,7365684,7431344,18110,75693,79137,78494
Arkansas,3014348,3028443,3046404,3067732,8509,34927,36298,35566
California,39503200,39145060,39040616,38965193,103133,412506,423922,414120
Colorado,5785219,5811596,5841039,5877610,15593,62137,62682,62498
Connecticut,3577586,3603691,3608706,3617176,8465,33942,35572,34957
Delaware,991862,1004881,1019459,1031890,2579,10174,10883,10725
Florida,21591299,21830708,22245521,22610726,50294,207942,222003,223578
Georgia,10732390,10790385,10913150,11029227,29847,121276,125599,125664
Hawaii,1451181,1446745,1439399,1435138,3836,15528,15746,15167
Idaho,1849339,1904537,1938996,1964726,5467,21850,22418,22456
Illinois,12790357,12690341,12582515,12549689,33452,131888,129614,127235
Indiana,6789098,6813798,6832274,6862199,19436,77712,80234,79587
Iowa,3190904,3197944,3199693,3207004,9104,35887,36848,36898
Kansas,2938124,2937946,2936716,2940546,8510,34168,34547,34768
Kentucky,4508155,4507600,4511563,4526154,12579,51364,52384,52380
Louisiana,4652022,4627047,4588023,4573749,13555,57028,56541,56209
Maine,1364517,1378787,1389338,1395722,2997,11590,12009,11945
Maryland,6173689,6175045,6163981,6180253,17156,67431,68904,67969
Massachusetts,6997713,6991951,6982740,7001399,17113,66441,69069,68387
Michigan,10070627,10038117,10033281,10037261,26588,102799,104411,101911
Minnesota,5710578,5717968,5714300,5737915,16461,63012,64630,63754
Mississippi,2958409,2949582,2938928,2939690,8503,35004,34786,34628
Missouri,6154426,6170393,6177168,6196156,17239,68820,68857,68334
Montana,1087211,1106366,1122878,1132812,2812,10841,11219,11206
Nebraska,1963273,1964253,1968060,1978379,6046,24410,24174,24195
Nevada,3115840,3146632,3177421,3194176,8167,33361,33542,33055
New Hampshire,1378702,1387494,1399003,1402054,2994,12044,12332,12155
New Jersey,9272392,9269175,9260817,9290841,24722,98001,102468,102055
New Mexico,2118488,2116950,2113476,2114371,5327,21433,21151,20728
New York,20104710,19854526,19673200,19571216,53056,205414,210106,207450
North Carolina,10453812,10567100,10695965,10835491,28675,116747,121639,121148
North Dakota,779563,777982,778912,783926,2563,10019,9839,9649
Ohio,11798292,11765227,11759697,11785935,32340,128271,128796,128826
Oklahoma,3965234,3991634,4019271,4053824,11579,47473,48121,48073
Oregon,4245044,4256465,4239379,4233358,10281,39660,40521,39046
Pennsylvania,12995477,13013614,12972091,12961683,32903,130245,131600,129489
Rhode Island,1096444,1097092,1093842,1095962,2546,10030,10386,10006
South Carolina,5132151,5193848,5282955,5373555,13492,55815,57508,57581
South Dakota,887852,896299,909869,919318,2832,11063,11324,11369
Tennessee,6926091,6963709,7048976,7126489,19250,79463,82053,82244
Texas,29234361,29561286,30029848,30503301,88268,364918,384024,390494
Utah,3283982,3339284,3381236,3417734,11862,45703,46371,45965
Vermont,642936,647093,647110,647464,1303,5153,5385,5072
Virginia,8637193,8657348,8679099,8715698,23580,94275,96018,95669
Washington,7724566,7741433,7784477,7812880,21105,82602,83874,82523
West Virginia,1791562,1785249,1774035,1770071,4296,17056,17100,17263
Wisconsin,5896700,5879978,5890543,5910955,15554,60034,60702,59839
Wyoming,577664,579548,581629,584057,1584,6164,6046,5882
